Part Number,Manufacturer,Designation,Description,Product Group,Link
RIT.1033000,Rittal,"Compact enclosure AX / AX Compact enclosure, WHD: 300x300x210 mm, sheet steel, with mounting plate, single-door, with one cam lock",None ,Mechanics > Enclosure > General,https://dataportal.eplan.com/part-details/Rittal/RIT.1033000/id-995165?page=5
RIT.1058000,Rittal,"Compact enclosure AX / AX Compact enclosure, WHD: 600x800x250 mm, sheet steel, with mounting plate, single-door, with two cam locks",None ,Mechanics > Enclosure > General,https://dataportal.eplan.com/part-details/Rittal/RIT.1058000/id-995175?page=5
RIT.8618200,Rittal,"Comfort Handle for VX, VX IT","VX Comfort handle, for lock inserts, RAL 7035",Mechanics > Lock systems > General,https://dataportal.eplan.com/part-details/Rittal/RIT.8618200/id-933835?page=5
RIT.8604000,Rittal,Baying enclosure system VX25,"VX Baying enclosure system, WHD: 600x2000x400 mm, sheet steel, with mounting plate, single door at the front",Mechanics > Enclosure > General,https://dataportal.eplan.com/part-details/Rittal/RIT.8604000/id-933764?page=5
RIT.8284000,Rittal,Baying enclosure system VX25,"VX Baying enclosure system, WHD: 1200x1800x400 mm, sheet steel, with mounting plate, two doors at the front",Mechanics > Enclosure > General,https://dataportal.eplan.com/part-details/Rittal/RIT.8284000/id-933749?page=5
WEI.1020000000,Weidmueller,"Feed-through terminal block / Feed-through terminal block, Screw connection, 2.5 mm², 800 V, 24 A, Number of connections: 2","Terminal block for connecting or joining conductors with permanently secure contact. Hardened steel withstands the mechanical forces, tin-coated copper ensures top conductivity.",Electrical engineering > Terminals > Terminal,https://dataportal.eplan.com/part-details/Weidmueller/WEI.1020000000/id-505825?page=5
RIT.8684000,Rittal,Baying enclosure system VX25,"VX Baying enclosure system, WHD: 600x1800x400 mm, sheet steel, with mounting plate, single door at the front",Mechanics > Enclosure > General,https://dataportal.eplan.com/part-details/Rittal/RIT.8684000/id-933965?page=5
RIT.1180500,Rittal,"Compact enclosures AE / AE Compact enclosure, WHD: 800x1000x300 mm, Sheet steel, with mounting plate, single-door, with two cam locks",None ,Mechanics > Enclosure > General,https://dataportal.eplan.com/part-details/Rittal/RIT.1180500/id-423486?page=5
RIT.4118000,Rittal,Wiring plan pocket of sheet steel,"SZ Wiring diagram pockets, for VX, TS, VX SE, PC, TP lower section, sheet steel, for door width: 800 mm, D: 90 mm",Mechanics > Housing > Accessories,https://dataportal.eplan.com/part-details/Rittal/RIT.4118000/id-421648?page=5
RIT.8084000,Rittal,Baying enclosure system VX25,"VX Baying enclosure system, WHD: 1000x1800x400 mm, sheet steel, with mounting plate, single door at the front",Mechanics > Enclosure > General,https://dataportal.eplan.com/part-details/Rittal/RIT.8084000/id-933720?page=5
RIT.2584100,Rittal,Pole clamp,AX Pole clamp,Mechanics > Housing > Accessories,https://dataportal.eplan.com/part-details/Rittal/RIT.2584100/id-1016655?page=5
SIE.3RH2911-1FA22,Siemens,"AUX.SWITCH BLOCK,FRONT,2NO+2NC, CURR.PATH: 1NO, 1NC, 1NC, 1NO, / F. CONT. RELAYS A. MOTOR CONT., SZ S00 AND S0, / SCREW TERMINAL .3 / .4,.1 / .2,.1 / .2,.3 / .4","AUX.SWITCH BLOCK,FRONT,2NO+2NC, CURR.PATH: 1NO, 1NC, 1NC, 1NO, F. CONT. RELAYS A. MOTOR CONT., SZ S00 AND S0, SCREW TERMINAL .3 / .4,.1 / .2,.1 / .2,.3 / .4",Electrical engineering > General > General,https://dataportal.eplan.com/part-details/Siemens/SIE.3RH2911-1FA22/id-703958?page=5
